player,position,appearances,kills,assists,deaths,kda
Nuguri,top,42,183,223,76,5.3421
Canyon,jng,42,131,338,68,6.8971
ShowMaker,mid,42,175,324,32,15.5938
Ghost,bot,42,130,316,59,7.5593
BeryL,sup,42,84,342,81,5.2593
