player,position,kills,deaths,assists,gamelength,golddiffat10,golddiffat15,csdiffat10,csdiffat15
Nuclear,bot,0,2,2,1689,-2004,-2128,-34,-50
BeryL,sup,0,5,3,1689,-916,-1083,-7,-5
Nuguri,top,2,3,7,2071,881,1544,4,2
Canyon,jng,0,2,9,2071,478,847,13,17
ShowMaker,mid,6,1,4,2071,233,113,12,4
Nuclear,bot,1,1,9,2071,-972,-1687,-78,-120
BeryL,sup,3,2,6,2071,1139,1995,70,116
Nuguri,top,0,2,0,1594,-344,-989,8,5
Canyon,jng,1,3,2,1594,-423,-436,-15,-18
ShowMaker,mid,1,2,1,1594,260,-219,9,1
Nuclear,bot,1,2,2,1594,-373,-1556,-18,-29
BeryL,sup,0,3,3,1594,62,-318,4,4
Nuguri,top,0,4,3,1681,-96,1817,20,34
Canyon,jng,0,5,2,1681,-1855,-1564,3,9
ShowMaker,mid,1,4,0,1681,-1051,-1545,-21,-37
Ghost,bot,2,2,0,1681,-30,165,-7,0
Hoit,sup,0,1,2,1681,-18,-267,-6,-11
Nuguri,top,2,3,6,2106,661,1573,26,30
Canyon,jng,5,1,2,2106,113,57,17,13
ShowMaker,mid,2,2,5,2106,-313,-486,-14,-21
Nuclear,bot,2,2,6,2106,-1049,-1629,-18,-29
BeryL,sup,0,1,9,2106,-262,-153,4,7
Nuguri,top,7,9,8,3276,99,261,1,6
Canyon,jng,9,1,14,3276,-165,217,-14,-7
ShowMaker,mid,7,2,14,3276,89,793,3,6
Ghost,bot,7,4,10,3276,-94,-151,-5,-5
BeryL,sup,0,5,24,3276,55,326,0,1
Nuguri,top,4,2,7,2016,-444,-719,-9,-8
Canyon,jng,1,1,10,2016,-103,-1055,-9,-6
ShowMaker,mid,3,0,10,2016,104,526,9,19
Ghost,bot,13,2,5,2016,-187,-792,-2,-9
BeryL,sup,0,2,11,2016,-116,-118,-3,-8
Nuguri,top,9,0,1,1586,828,2706,14,28
Canyon,jng,2,0,10,1586,211,169,2,5
ShowMaker,mid,4,2,8,1586,115,853,8,17
Ghost,bot,1,2,17,1586,-421,-692,-62,-102
BeryL,sup,3,2,9,1586,671,1679,70,117
Nuguri,top,5,3,10,1506,-377,1929,3,17
Canyon,jng,1,1,14,1506,-233,-40,1,-5
ShowMaker,mid,8,0,5,1506,196,270,6,12
Ghost,bot,6,0,5,1506,-14,1622,-1,39
BeryL,sup,0,0,10,1506,-71,211,-4,-1
Nuguri,top,2,2,12,2500,-409,-433,-24,-14
Canyon,jng,2,1,6,2500,-589,-379,-6,3
ShowMaker,mid,4,2,7,2500,408,675,1,12
Ghost,bot,8,1,5,2500,582,951,23,16
BeryL,sup,0,3,7,2500,244,169,2,3
Nuguri,top,6,3,6,2619,-976,-2317,-6,-29
Canyon,jng,2,2,16,2619,-566,-694,-5,2
ShowMaker,mid,0,2,15,2619,905,2238,29,50
Ghost,bot,12,3,2,2619,1339,1395,5,10
BeryL,sup,1,1,15,2619,411,391,5,4
Nuguri,top,3,3,3,1544,874,1280,25,41
Canyon,jng,2,0,3,1544,339,499,9,6
ShowMaker,mid,2,0,2,1544,308,675,15,13
Ghost,bot,2,0,4,1544,-360,-1352,-70,-132
BeryL,sup,1,3,5,1544,895,1681,50,92
Nuguri,top,3,3,9,1898,-315,150,4,4
Canyon,jng,0,3,9,1898,-83,-279,-1,-8
ShowMaker,mid,8,0,6,1898,266,652,-6,2
Ghost,bot,3,1,10,1898,116,-338,-65,-117
BeryL,sup,3,0,11,1898,1164,2128,56,100
Nuguri,top,0,4,1,2363,-165,-69,-2,-5
Canyon,jng,1,2,0,2363,126,153,18,16
ShowMaker,mid,0,3,2,2363,-144,-1265,10,-3
Ghost,bot,1,2,0,2363,58,237,3,10
BeryL,sup,0,1,1,2363,80,203,2,4
Nuguri,top,0,2,0,1672,-217,353,0,12
Canyon,jng,0,3,1,1672,-482,-667,-12,-18
ShowMaker,mid,1,1,0,1672,-939,-1625,-21,-25
Ghost,bot,0,3,0,1672,-247,-1311,-5,-2
BeryL,sup,0,4,0,1672,-320,-357,-4,0
Nuguri,top,0,5,4,1626,540,-246,16,-5
Canyon,jng,0,2,1,1626,-849,-1017,-31,-21
ShowMaker,mid,3,4,1,1626,-44,-374,-5,-11
Ghost,bot,1,3,1,1626,-777,-1209,-23,-24
BeryL,sup,0,3,2,1626,-248,-447,1,3
Nuguri,top,2,2,9,2029,4,-728,5,-17
Canyon,jng,2,0,12,2029,-48,216,-5,-20
ShowMaker,mid,6,0,11,2029,700,719,2,-20
Ghost,bot,8,2,4,2029,140,677,-4,0
BeryL,sup,2,1,17,2029,272,919,12,15
Nuguri,top,5,4,6,2544,-167,972,-4,2
Canyon,jng,2,4,5,2544,-526,-476,-3,-22
ShowMaker,mid,1,1,8,2544,-417,-874,-5,-15
Ghost,bot,3,3,7,2544,-1017,-972,-9,-11
BeryL,sup,1,3,6,2544,-432,-777,0,-2
Nuguri,top,1,6,2,2107,297,-335,18,9
Canyon,jng,1,4,3,2107,-729,-955,-10,-12
ShowMaker,mid,1,1,2,2107,-537,-583,3,19
Ghost,bot,1,4,0,2107,-132,-1640,-20,-51
BeryL,sup,0,2,3,2107,-188,-758,2,-2
Nuguri,top,5,2,8,1900,498,2526,9,27
Canyon,jng,2,1,9,1900,-541,-521,-4,4
ShowMaker,mid,4,4,9,1900,-593,-578,-26,-32
Ghost,bot,4,2,10,1900,-500,657,-1,-7
BeryL,sup,1,2,14,1900,479,737,1,5
Nuguri,top,5,1,4,1939,321,-27,-19,-20
Canyon,jng,1,1,6,1939,624,541,14,3
ShowMaker,mid,1,1,12,1939,7,418,-6,6
Ghost,bot,5,0,3,1939,151,430,4,3
BeryL,sup,2,1,10,1939,63,274,-2,3
Nuguri,top,2,1,4,2370,176,246,-8,-2
Canyon,jng,2,1,5,2370,638,536,7,16
ShowMaker,mid,4,2,1,2370,-146,-211,-3,9
Ghost,bot,2,1,3,2370,214,19,8,5
BeryL,sup,0,2,5,2370,110,-183,3,2
Nuguri,top,5,7,3,2138,2251,3005,53,53
Canyon,jng,1,7,5,2138,-1149,-1223,-11,-32
ShowMaker,mid,3,3,3,2138,253,669,7,-4
Ghost,bot,1,1,6,2138,-1402,-1492,-86,-143
BeryL,sup,0,3,4,2138,547,1714,60,98
Nuguri,top,3,0,7,2324,663,658,19,26
Canyon,jng,0,2,9,2324,195,436,5,23
ShowMaker,mid,5,1,6,2324,-162,1298,-7,9
Ghost,bot,3,1,7,2324,-165,-1238,-10,-26
BeryL,sup,0,4,7,2324,-24,-501,-1,7
Nuguri,top,0,2,0,1847,234,1311,0,11
Canyon,jng,0,4,1,1847,-576,-648,-3,-6
ShowMaker,mid,1,2,0,1847,107,-491,6,1
Ghost,bot,0,3,1,1847,-382,-2813,-16,-47
BeryL,sup,0,3,1,1847,-19,-356,8,11
Nuguri,top,0,4,6,1919,151,-776,5,-9
Canyon,jng,3,7,4,1919,-581,93,-8,-4
ShowMaker,mid,2,2,5,1919,-1080,-1269,-21,-39
Ghost,bot,5,4,3,1919,-365,-555,-23,-23
BeryL,sup,1,6,5,1919,-357,1,8,17
Nuguri,top,2,6,6,2194,128,1291,16,33
Canyon,jng,6,1,3,2194,-447,-48,-1,-3
ShowMaker,mid,3,2,2,2194,12,678,1,9
Ghost,bot,1,0,5,2194,-287,-323,-10,-16
BeryL,sup,0,3,5,2194,-45,110,12,18
Nuguri,top,3,2,4,2462,609,2692,20,23
Canyon,jng,2,2,4,2462,284,1237,17,11
ShowMaker,mid,2,2,4,2462,-384,-12,-20,-25
Ghost,bot,4,1,1,2462,-164,-692,6,-9
BeryL,sup,0,5,6,2462,-6,-566,12,14
Nuguri,top,2,3,2,1818,-36,-1497,-3,-31
Canyon,jng,0,3,2,1818,-78,-617,-6,-6
ShowMaker,mid,2,3,1,1818,-530,-706,-21,-19
Ghost,bot,1,4,2,1818,-677,-305,-7,1
BeryL,sup,0,4,3,1818,-21,452,-1,4
